Hotel Cavendish, The bed was slightly hard for my tastes but I could still sleep on it The breakfast room is quite compact and there was people having to wait for tables at some times on the morning 
Hotel Cavendish, This property was not up to any standards Pillows were so old and should have been replaced long ago The tap on the bathroom sink barely ran water The room was supposed to be for three people and there was literally no room for luggage We had to open one case at a time as there was no room for us to manage all three pieces of luggage The chair opened up to a bed which was so uncomfortable that my grandson had the worst sleeps in the 21 days we were travelling When I went to pay I was told that my credit card had already been charged No where in the eight hotels I had booked for our trip did the hotel charge my credit card without telling me I would not recommend this hotel 
Hotel Cavendish, The room was the tiniest I have ever seen If fitted a comfortable bed barely That s it this is an accurate description of the room 
Hotel Cavendish, The windows didn t close properly and the room wasn t thoroughly clean rubbish was left under the beds Breakfast was ok but basic 
Hotel Cavendish, Room was in basement accessed through breakfast room next to kitchen so very noisy View from window was of small dirty broken courtyard pillows so flat may as well not had one Whole place needs an upgrade basement room should be sold as such at reduced rate Luckly only staying one night
Hotel Cavendish, Booked this room for just myself single room and it was ridiculously small There are no photos of the single rooms so I didn t know what I was getting into Very overpriced for what I got 100 contemplated moving hotel however no point in wasting all that money Pretty disappointed but oh well 
Hotel Cavendish, Very old building staff not having a clue about how to serve customers carpet cleanliness was apalling Doors furnitures bathroom were properly dirty The reception desk staff was robotic and made us unconfortable at the check in They are not interested in give a good impression to customers because the location is central and they can trap a lot of tourists The quality of the breakfast was poor and the table wasn t even completed with pots and cutleries Members of staff in the breakfast room were rude and not helping Outside of the window of the breakfast room there was a gas station with NO SMOKING sign and a builder contractor was smoking at no more than a meter away Also the smell of smoking was coming inside the breakfast room I wouldn t recommend this place to anyone at 115 per night for a triple room The night before a good size rat was calmly scouting the area outside the window 
Hotel Cavendish, It might be handy to have some umbrellas to help your clientele during rainy periods Not a deal breaker but it s a nice additional help to have An extra set of pillows would have been optimal 
Hotel Cavendish, The room was not ready for us 3 sharing with the 2 singles with one quilt and the put up bed not made The room was very tight for 3 beds and they kept forgetting to provide a third cup for tea making and the equivalent supplies A mouse ran out from under the bed when they had separated the single beds It ran out under the door but we then had to check that it had not returned and put shoes along the gap under the door we did not bother to tell the management as were amused It may have come through the open window off the scaffolding as we were at the rear of the hotel and there was work being done to the old building 
Hotel Cavendish, Cooking smells and noise at 6 30 am Filthy window ledge and scaffold outside my ground level room No lock on the window Safe didn t work When I asked for hangers it was suggested I buy some myself Breakfast had no healthy options I would call it a 2 hotel NOT a 3 or 4 as it rates itself 
Hotel Cavendish, The WIFI did not work in my room at all My 16 year old son was home alone and I wanted to be sure that he d got home safely after an evening out I was unable to message him from my room so I had to get up get dressed and go down to reception three times to connect to WIFI I stayed in this hotel for two reasons location close to my meetings and the certainty of having WIFI 
Hotel Cavendish, The room was a bit dowdy The wash basin tap only had a trickle of water and the wash basin plug was inoperable breakfast facilities very basic
Hotel Cavendish, the room is not quite clean dust cobweb on the floor not suitable for travelers with big suitcases no lift 
Hotel Cavendish, The kettle and the wifi Wifi kept crashing which was very annoying The kettle in my room had some sediment that was floating in it even if I thoroughly rinsed it and so I could not make myself a cuppa 
Hotel Cavendish, The rooms I ve stayed in are very small this isn t such as issue for me staying for 1 night but if you were staying longer it could feel a touch claustrophobic The bathroom similarly has the toilet sink and shower cubicle packed in pretty close together 
Hotel Cavendish, No A C a bit noisy dark room with view of unmaintained garden kitchen boiler exhaust Location good but expensive in comparison with other hotels that I have preferred No breakfast until 07 30 so not really aiming at business travellers 
Hotel Cavendish,No Negative
Hotel Cavendish, This place is the most disgusting hotel I have ever seen in my life If I could have imagined that such places exist I would never have booked a room there Booking com was not explicit about the type of room I was being offered and the price did not indicate what I was going to find on arrival What I was offered was not a room but a cupboard with a tiny bed in a niche overlooking an overgrown dirty backyard with no light and no ventilation There was no space to open my suitcase even I would not call this a room or offer it for 85 This was a disgrace on the part of both the hotel and your website I did not sleep in the room and of course there was no refund This was the first time I used booking com and I think it will be the last Very poor quality hotel no value for money and no explicit information to customers about the disgraceful state of the so called room that was on offer 
Hotel Cavendish, Just a little tired
Hotel Cavendish, Room small Bathroom even smaller and not particularly clean No air conditioning Entrance needs a revamp in fact the hotel could do with a complete revamp 
Hotel Cavendish, There was a water pump in our bathroom room 306 In the first night in only started when we turned on the hot water Second night was 3 seconds on 2 seconds off All night Couldn t sleep all night We informed the reception desk at about 8pm and asked to fix the problem or change our room We were promised the problem will be fixed When we returned there was another guy at the reception who said he did not work there and the problem was the same After a horrible night before our checking out we asked to talk to the manager but we were told he cannot be contacted because it s Saturday We want our money back 180 pounds night Can anybody help us 
Hotel Cavendish, Overall scruffy impression of entire property room extremely noisy close to busy street and windows not at all soundproof WiFi very poor 
Hotel Cavendish, Cups washed up each day they stayed dirty all week in the end I left them in breakfast Room and took two clean ones also all week I don t think the room was hovered When my key didn t work to get in room I waited 20 mins in reception no one there I phoned the number twice no one came
Hotel Cavendish, Some of the furnishings were slightly tired and older The bathroom had an odour and I wondered if it was the drains which could easily be resolved with bleach or something similar 
Hotel Cavendish, Carpet is utterly dirty so is the rest of the hotel Unprofessional stuff 
Hotel Cavendish, Room location G4 behind reception and next to main stairs noisy Room was grubby dull miserable Curtains didn t fit rail window shutters rotting at the top falling off the wall carpet dirty shower room toilet filthy hairs and dirt Looked like the room was an afterthought Complementary toiletries consisted of 3 bars of soap nothing else Room was a double but only one cup and saucer and no glasses Overall VERY POOR would not recommend to anyone
Hotel Cavendish, Access to the room wasn t good as I had to walk up 2 flights of stairs through 3 fire doors and down 2 flights of stairs to reach it It was a ground floor room with window wide open on arrival not very safe for a lone female traveller The room was not properly cleaned after the first night bed not made only one of the two bins emptied and dirty cup left The Breakfast was ok but staff got part of order wrong on first day For the price I was disappointed
Hotel Cavendish, Ripp off even for London Small room under the roof sold as 4 star en suite bedroom for 3 people Stinky hot and loud tiny bath cabin rusty thin sofa bed which was not even prepared dirty sock of a prior guest under the bed Dirty entrance mediocre breakfast indifferent staff Don t go 
Hotel Cavendish, The hotel is really run down The room was not cleaned for a long time I am sure and the amount of dust on the floor and in the closet was unbelievable The fruits that were served in breakfast were picked two weeks ago or so When I had breakfast not a single guest touched them I could not flush the toilets so I reported and the guy said ah yes we know that there is such a problem from time to time when the fuse goes wrong Aha you knew but you charged for the room didn t you If this was not enough at night there was no hot water for a shower Luckily I did not stay more than two days 
Hotel Cavendish,No Negative
Hotel Cavendish, There were a few areas of the room that were untidy ie the shower finishings and a little dusty in some areas 
