,Hotel,Review,Score
3,Knightsbridge Hotel, Nothing to coment,0
4,Knightsbridge Hotel, the key of the room is big it is not a card like all hotels So you will have to place it in reception ,-0.2755
7,Knightsbridge Hotel, its a bit noisy when anybody walks beside the room,-0.1779
9,Knightsbridge Hotel, Air conditioning was really noisy ,-0.2484
12,Knightsbridge Hotel, They are Cheating in web site What ever mentioned in booking com is not true I think booking and the hotel are lying together so they force the customers baying the first night ,-0.8531
14,Knightsbridge Hotel, Its not a five star hotel It has some rooms in the basement It has no big lobby It has no breakfast buffet The pictures of the hotel doesnt reflect the hotel Fro out side doesnt look like as ahotel It looks as normal residence ,-0.6792
15,Knightsbridge Hotel, Room very small even though I upgraded at booking time I was in the smallest room on the floor ,0
19,Knightsbridge Hotel, Nothing,0
21,Knightsbridge Hotel, The room was small ,0
22,Knightsbridge Hotel, I got room in LG beside kitchen and general w c while I was requesting high floor,0
23,Knightsbridge Hotel, Room too small nowhere to put a suit case Coffee good but charged for refills ,-0.0644
24,Knightsbridge Hotel, No Cofee making facility in room,-0.296
30,Knightsbridge Hotel, Nothing,0
32,Knightsbridge Hotel, We ordered some beverage items to be sent up to the rooms They never arrived so we had to re order Not impressed ,-0.3724
33,Knightsbridge Hotel, The room that you could eat your breakfast in was far too small for a busy hotel so we had breakfast in our suite which was lovely but if I had to gripe it was slightly uncomfortable perched on a sofa and bending down onto a coffee table,-0.1432
34,Knightsbridge Hotel, Nothing in regards the hotel although now I know there are no front facing deluxe rooms I would reserve a different room type next time Its also a bit expensive in our view but at least you know that up front ,-0.1531
35,Knightsbridge Hotel, Nothing to say ,0
40,Knightsbridge Hotel, I think the reception is very simple compared to the over all interior of the hotel,0
41,Knightsbridge Hotel, However I was so disappointed at the size of the hotel and the lack of facilities i e A proper restaurant or bar I have stayed at the Charlotte Street Hotel on numerous occasions and to be honest was expecting similar facilities ,-0.4572
43,Knightsbridge Hotel, The rooms are quite compact and therefore eating breakfast which is served in the room is a bit awkward Breakfast was not as hot as it might be if they had a restaurant ,-0.1531
44,Knightsbridge Hotel, No heating in very large bathroom radiator not working staff informed rectified but still remained very cold eventually moved to larger room Breakfast was very slow no dinning room taken in lounge area ,-0.5883
46,Knightsbridge Hotel, Can t think of anything,0
52,Knightsbridge Hotel, it wasn t possible to switch off the extraction in our bathroom I personally didn t hear a thing but my partner is a very light sleeper ,0
53,Knightsbridge Hotel, The English breakfast was disappointing in that it was undercooked to the point that we both sent it back To be fair we weren t charged for it but as we were only there for one night and we both really enjoy our food and look forward to a cooked breakfast when away it was a disappointing finale to the trip,-0.1054
54,Knightsbridge Hotel, There is always a smell in the bathrooms Since before I arrived I asked for a late check out COZ my plane was late THEY didnt LET me stay too long ,0
59,Knightsbridge Hotel, Breakfast was poor best option to eat out at many of the cafes in the area and internet was slow Avoid room in the basement because you will wake up early with people walking in the livingroom above where breakfast is served ,-0.0258
61,Knightsbridge Hotel, AS IN YOUR HOME YOU WILL FIND NO GYM NO POOL SERVICE WAS GOOD BUT NOT AMAZING WHICH YOU WOULD EXPECT FROM A VERY SMALL HOTEL SUCH AS THIS ,-0.5129
65,Knightsbridge Hotel, Unfortunately a lot of things But most importantly There are security issues with the hotel During my first night a housekeeper just barged into the room unannounced and unapologetic about it while I was sleeping Given that this is not a standard practice of any hotel esp that they should always knock before they enter things got worse The last day of my check out they checked in a guest into one of my rooms I booked two at 10 AM BEFORE I check out I even entered the room thinking it was still mine with my key and found the new guest already sleeping on the bed and shocked when they saw me come into the room That was completely absurd and never heard of especially in a supposedly 5 star hotel When I checked into this hotel twice I was given the rooms after 4pm so to actually check in a guest into an unchecked room before 10AM was a rip off to me To make things even worse after at least 15 minutes of arguing with the manager about it they were not taking responsibility he did not apologize for this until I demanded an apology I have never ever seen such unprofessional behavior of staff ever in any of my travels around the world and in any hotels I have been to I would never ever recommend this hotel to anyone Other things worth mentioning rooms are the smallest I have seen out of all the hotels I have been in London Breakfast was very limited and dull Sometimes it was a little challenging getting a taxi to the hotel ,-0.975
66,Knightsbridge Hotel, 1 Room is very small You can hardly move around it with very little soace around the bid 2 Small tight corridors for a 5 star rated hotel 3 For 312 per night you d expect some kind of a veiw What we got is view at a brick wall seriously We were told the street view is for other type of rooms with higher rates 4 Flat TV is too small ,-0.1779
69,Knightsbridge Hotel, Size of the room very small The cost doesn t justify the size of the room The hotel also doesn t have a proper restaurant although there are options nearby ,0
73,Knightsbridge Hotel, The room was very small Decently appointed but very small The minibar pricing was even mote outrageous than normal ,-0.6124
74,Knightsbridge Hotel, As it was only a Saturday night stay in the hotel it was difficult to find any negatives If the stay was longer we are sure we would of struggled to find anything We will return without doubt next time we fancy a night up town ,-0.1255
77,Knightsbridge Hotel, Nothing ,0
80,Knightsbridge Hotel, Absolutely nothing,0
81,Knightsbridge Hotel, Bathroom very uncomfortable for bath,-0.4391
82,Knightsbridge Hotel, Larger room bath mat in the shower It would be easy to slip and get hurt,-0.128
86,Knightsbridge Hotel, NOTHING ,0
87,Knightsbridge Hotel, Room very small hardly any space to move,0
88,Knightsbridge Hotel, Rooms for single are small,0
91,Knightsbridge Hotel, None,0
97,Knightsbridge Hotel, Absolutely nothing,0
98,Knightsbridge Hotel, Nothing,0
99,Knightsbridge Hotel, Breakfast serving time was too long Uncomfortable seating for breakfast ,-0.3818
101,Knightsbridge Hotel, Probably more breakfast tables as had to wait a while for a table,0
102,Knightsbridge Hotel, Geen restaurant in het hotel,0
103,Knightsbridge Hotel, Service sometimes slow ,0
104,Knightsbridge Hotel, Could do with coffee making facilities in room,0
105,Knightsbridge Hotel, The short space for dinning and incapacity of influence in nearby restaurant bookings ,0
106,Knightsbridge Hotel, Rooms were rather small HOPELESS make up mirror clearly designed only for men to shave at ,-0.2577
108,Knightsbridge Hotel, Very very cold room All the china was chipped ,0
110,Knightsbridge Hotel, A little small,0
111,Knightsbridge Hotel, Nothing,0
113,Knightsbridge Hotel, Nothing to observe on,0
114,Knightsbridge Hotel, recommeneded a coffee machine for the rooms,0
117,Knightsbridge Hotel, No negatives ,-0.296
123,Knightsbridge Hotel, Absolutly NOTHING,0
127,Knightsbridge Hotel, The room was very small for the price I paid ,0
133,Knightsbridge Hotel, room close to the garage harrods a bit noisy,-0.1779
137,Knightsbridge Hotel, Nothing,0
139,Knightsbridge Hotel, Waited 45 mins for breakfast,0
143,Knightsbridge Hotel, nothing,0
144,Knightsbridge Hotel, Lack of restaurant Expensive bar,-0.3182
147,Knightsbridge Hotel, Absolutely nothing,0
149,Knightsbridge Hotel, The shower over the bath,0
150,Knightsbridge Hotel, The A C in our room was on my head but this is first time this has happened there ,0
151,Knightsbridge Hotel, No coffee making facilities in room,-0.296
155,Knightsbridge Hotel, It was under renovation,0
156,Knightsbridge Hotel, No gym,-0.296
157,Knightsbridge Hotel, No gym,-0.296
159,Knightsbridge Hotel, No pool that s if I m being really busy,-0.296
164,Knightsbridge Hotel, Too expensive for such a small room ,0
165,Knightsbridge Hotel, Too expensive for what you rwceive,0
167,Knightsbridge Hotel, Our room was just above the parking entrance and it was very noisy during the day ,-0.2484
170,Knightsbridge Hotel, The size and view of the room,0
171,Knightsbridge Hotel, Nothing ,0
173,The London EDITION, The rooms were lacking plugs to charge our phones and iPads ,0
174,The London EDITION, The view from my room was of a dirty inner courtyard but it didn t bother me too much as I only stayed one night ,-0.6187
175,The London EDITION, My only complaint about the room is that you can hear a lot of hallway noise through the doors but it wasn t bad enough to not stay here again I wasn t a fan of Berners Tavern off the lobby While the restaurant is beautiful the food was quite poor except the dessert and was a real disappointment ,-0.7869
176,The London EDITION, Nothing it was perfect ,-0.4585
177,The London EDITION, Nothing really Not the cheapest room in London but I wasn t looking for the cheapest ,0
178,The London EDITION, The rooms had a kind of sparse minimalist feel to them and they had one of those strange pictures of a woman s head whose eyes followed you around the room The light switches were also quite strange and not the easiest to operate ,-0.6399
179,The London EDITION, Difficult to connect to the wifi at first I found the room a little small despite choosing a higher category Check out was very long as there was a queue ,-0.3612
180,The London EDITION, Standard double bedroom is very small Request high floor bedroom to avoid noise from bar restaurant,-0.296
183,The London EDITION, The concierge who was rude and arrogant to two female members of our party on separate occasions ,-0.5423
186,The London EDITION, absolutely nothing,0
187,The London EDITION, Staff at the Punch Bar were a little brusque and somewhat dismissive even though we had made reservations ,0
189,The London EDITION, Consirege he recommended a dreadful restaurant and wasn t very on the ball with other suggestions Also hotel guests are not prioritized for the onsite restaurant and it s always fully booked So don t just turn up and stay thinking you have a table ,-0.2732
191,The London EDITION, No bath just a shower ,-0.296
193,The London EDITION, When booked thru Booking no Marriot SPG points and nights no space for private meetings or to talk on the phone besides your own room There is no separation between lobby and bar so things get a little messy Room service very unprofessional and expensive restaurant beautiful but the food is not on the same level Expensive hotel no loyalty program ,-0.7891
195,The London EDITION, No tea or coffee making facilities,-0.296
198,The London EDITION, Rooms are rather small yet this is the case with most hotels in London ,0
200,The London EDITION, guaranteed check in time is 3 pm but we had to wait longer the service at berners tavern during breakfast was consistently very slow the hair dryer can not be used in the bathroom due to lack of power outlet maybe this is due to security policy but certainly an inconvenience ,0
201,The London EDITION, the room was cold in feeling with very little furniture and no place to put things it was also less than i paid for but i paid ahead of time and they would not change it i blame booking com for that,-0.5136
202,The London EDITION, Overpriced and only deserving of a 4 star rating The superior room we got was tiny horribly hot with a view over the service yard The room didn t have basic facilities like an iron and coffee or tea facilities which in a 5 star was a bit poor The decor was so sparse and cheaply finished in the bedrooms felt more IKEA than premium You also need to reserve in advance a table in the punch bar even if you are a hotel guest which would have been helpful to know before arriving or even when checking in but we only found this out when we went to go for a drink and were rudely turned away Overall an underwhelming 4 star hotel ,-0.5647
203,The London EDITION, Very small room even with an upgrade But this is common in London unless you pay for a suite Otherwise rooms very high standard,-0.1531
205,The London EDITION, It was difficult to find 2 seats in the bar as a hotel guest They made an error with the bill as charged us for breakfast which we had already paid,-0.7184
206,The London EDITION, The only problem i face was they didn t have my booking number I stayed for one hour at front desk trying to explain to them that i booked 2 months ago It shows then that they didnt get the comfermation from booking And after that they want to charge me with a room rate that is higher that what i book Tell i manage to get access to my booking and show them all the details and price ,-0.2732
207,The London EDITION, NIL,0
208,The London EDITION, Breakfast not included in rate was expensive We had a view of construction site that was opposite hotel no bath,-0.296
209,The London EDITION, The rooms are expensive enough but they charge for every little detail and the bar is very very expensive,0
210,The London EDITION, Nothing,0
211,The London EDITION, rooms are not as luxious as the rest of the hotel,0
212,The London EDITION, The wood panelling of the rooms is not to everyone s taste At night we had a choice between being too hot air con off or constant humming air con on Until I found out that the windows do open Which resulted in air con going into overdrive ,0
